year,count_date,fish_count,Species,Species_ID,count_location,count_location_ID
2022,6/15/2022,1,Chinook,410,Ilnik River,35
2022,6/16/2022,0,Chinook,410,Ilnik River,35
2022,6/17/2022,0,Chinook,410,Ilnik River,35
2022,6/18/2022,0,Chinook,410,Ilnik River,35
2022,6/19/2022,0,Chinook,410,Ilnik River,35
2022,6/20/2022,0,Chinook,410,Ilnik River,35
2022,6/21/2022,1,Chinook,410,Ilnik River,35
2022,6/22/2022,0,Chinook,410,Ilnik River,35
2022,6/23/2022,3,Chinook,410,Ilnik River,35
2022,6/24/2022,0,Chinook,410,Ilnik River,35
2022,6/25/2022,0,Chinook,410,Ilnik River,35
2022,6/26/2022,0,Chinook,410,Ilnik River,35
2022,6/27/2022,1,Chinook,410,Ilnik River,35
2022,6/28/2022,0,Chinook,410,Ilnik River,35
2022,6/29/2022,1,Chinook,410,Ilnik River,35
2022,6/30/2022,0,Chinook,410,Ilnik River,35
2022,7/6/2022,0,Chinook,410,Ilnik River,35
2022,7/7/2022,0,Chinook,410,Ilnik River,35
2022,7/8/2022,0,Chinook,410,Ilnik River,35
2022,7/9/2022,0,Chinook,410,Ilnik River,35
2022,7/10/2022,0,Chinook,410,Ilnik River,35
2022,7/11/2022,0,Chinook,410,Ilnik River,35
2022,7/12/2022,0,Chinook,410,Ilnik River,35
2022,7/13/2022,0,Chinook,410,Ilnik River,35
2022,7/14/2022,1,Chinook,410,Ilnik River,35
2022,7/15/2022,1,Chinook,410,Ilnik River,35
2022,7/16/2022,0,Chinook,410,Ilnik River,35
2022,7/17/2022,0,Chinook,410,Ilnik River,35
2022,6/2/2022,152,Sockeye,420,Ilnik River,35
2022,6/3/2022,5,Sockeye,420,Ilnik River,35
2022,6/4/2022,5,Sockeye,420,Ilnik River,35
2022,6/5/2022,54,Sockeye,420,Ilnik River,35
2022,6/6/2022,36,Sockeye,420,Ilnik River,35
2022,6/7/2022,20,Sockeye,420,Ilnik River,35
2022,6/8/2022,276,Sockeye,420,Ilnik River,35
2022,6/9/2022,221,Sockeye,420,Ilnik River,35
2022,6/10/2022,117,Sockeye,420,Ilnik River,35
2022,6/11/2022,1426,Sockeye,420,Ilnik River,35
2022,6/12/2022,532,Sockeye,420,Ilnik River,35
2022,6/13/2022,3940,Sockeye,420,Ilnik River,35
2022,6/14/2022,2872,Sockeye,420,Ilnik River,35
2022,6/15/2022,1783,Sockeye,420,Ilnik River,35
2022,6/16/2022,4500,Sockeye,420,Ilnik River,35
2022,6/17/2022,2643,Sockeye,420,Ilnik River,35
2022,6/18/2022,2634,Sockeye,420,Ilnik River,35
2022,6/19/2022,6827,Sockeye,420,Ilnik River,35
2022,6/20/2022,3311,Sockeye,420,Ilnik River,35
2022,6/21/2022,3919,Sockeye,420,Ilnik River,35
2022,6/22/2022,4535,Sockeye,420,Ilnik River,35
2022,6/23/2022,2462,Sockeye,420,Ilnik River,35
2022,6/24/2022,538,Sockeye,420,Ilnik River,35
2022,6/25/2022,5163,Sockeye,420,Ilnik River,35
2022,6/26/2022,4035,Sockeye,420,Ilnik River,35
2022,6/27/2022,2777,Sockeye,420,Ilnik River,35
2022,6/28/2022,1463,Sockeye,420,Ilnik River,35
2022,6/29/2022,2972,Sockeye,420,Ilnik River,35
2022,6/30/2022,315,Sockeye,420,Ilnik River,35
2022,7/1/2022,3212,Sockeye,420,Ilnik River,35
2022,7/2/2022,1893,Sockeye,420,Ilnik River,35
2022,7/3/2022,2036,Sockeye,420,Ilnik River,35
2022,7/4/2022,4989,Sockeye,420,Ilnik River,35
2022,7/5/2022,3089,Sockeye,420,Ilnik River,35
2022,7/6/2022,4033,Sockeye,420,Ilnik River,35
2022,7/7/2022,1314,Sockeye,420,Ilnik River,35
2022,7/8/2022,3005,Sockeye,420,Ilnik River,35
2022,7/9/2022,1650,Sockeye,420,Ilnik River,35
2022,7/10/2022,2456,Sockeye,420,Ilnik River,35
2022,7/11/2022,1446,Sockeye,420,Ilnik River,35
2022,7/12/2022,1474,Sockeye,420,Ilnik River,35
2022,7/13/2022,1736,Sockeye,420,Ilnik River,35
2022,7/14/2022,881,Sockeye,420,Ilnik River,35
2022,7/15/2022,541,Sockeye,420,Ilnik River,35
2022,7/16/2022,471,Sockeye,420,Ilnik River,35
2022,7/17/2022,200,Sockeye,420,Ilnik River,35
2022,7/18/2022,0,Sockeye,420,Ilnik River,35
2022,8/18/2022,16000,Sockeye,420,Ilnik River,35
2022,6/29/2022,1,Pink,440,Ilnik River,35
2022,6/30/2022,0,Pink,440,Ilnik River,35
2022,7/1/2022,0,Pink,440,Ilnik River,35
2022,7/2/2022,0,Pink,440,Ilnik River,35
2022,7/3/2022,0,Pink,440,Ilnik River,35
2022,7/4/2022,0,Pink,440,Ilnik River,35
2022,7/5/2022,0,Pink,440,Ilnik River,35
2022,7/6/2022,0,Pink,440,Ilnik River,35
2022,7/7/2022,0,Pink,440,Ilnik River,35
2022,7/8/2022,6,Pink,440,Ilnik River,35
2022,7/9/2022,3,Pink,440,Ilnik River,35
2022,7/10/2022,2,Pink,440,Ilnik River,35
2022,7/11/2022,3,Pink,440,Ilnik River,35
2022,7/12/2022,4,Pink,440,Ilnik River,35
2022,7/13/2022,3,Pink,440,Ilnik River,35
2022,7/14/2022,7,Pink,440,Ilnik River,35
2022,7/15/2022,0,Pink,440,Ilnik River,35
2022,7/16/2022,0,Pink,440,Ilnik River,35
2022,7/17/2022,0,Pink,440,Ilnik River,35
